demanda_preajuste,inventario_preajuste,produccion_preajuste,precio_preajuste,volatilidad_precio,subida_brusca_precio,escasez
1533.0,102.0,1526.0,10.0,1.04978,1,0
1518.0,66.0,1562.0,10.0,1.02415,0,0
1488.0,76.0,1542.0,10.0,1.0,0,0
1511.0,92.0,1498.0,10.0,0.97725,0,0
1519.0,56.0,1536.0,10.0,0.95581,0,0
1507.0,52.0,1588.0,10.0,0.9356,0,0
1540.0,93.0,1534.0,10.0,0.91652,0,0
1529.0,61.0,1607.0,10.0,0.91652,0,0
1500.0,96.0,1553.0,10.0,0.90967,0,0
1501.0,105.0,1551.0,10.0,0.82916,0,0
1505.0,108.0,1552.0,10.0,0.58949,0,0
1532.0,109.0,1487.0,9.0,0.38406,0,0
1489.0,45.0,1586.0,10.0,0.38406,0,0
1527.0,99.0,1603.0,10.0,0.43589,0,0
1533.0,124.0,1458.0,9.0,0.35707,1,0
1539.0,35.0,1545.0,10.0,0.35707,0,0
1535.0,29.0,1652.0,10.0,0.3,0,0
1477.0,103.0,1593.0,10.0,0.35707,0,0
1507.0,154.0,1528.0,9.0,0.4,0,0
1478.0,123.0,1489.0,9.0,0.55678,0,0
1521.0,94.0,1428.0,8.0,0.57228,0,0
1506.0,4.0,1572.0,9.0,0.57228,1,0
1495.0,49.0,1619.0,10.0,0.5831,0,0
1499.0,122.0,1575.0,9.0,0.67082,0,0
1508.0,138.0,1524.0,8.0,0.73485,0,0
1513.0,108.0,1488.0,8.0,0.78102,0,0
1494.0,59.0,1571.0,8.0,0.76649,0,0
1521.0,97.0,1536.0,9.0,0.74833,1,0
1520.0,79.0,1510.0,9.0,0.72629,1,0
1576.0,49.0,1541.0,9.0,0.72629,1,0
1568.0,11.0,1649.0,10.0,0.74833,1,0
1593.0,64.0,1674.0,10.0,0.74833,1,0
1645.0,101.0,1703.0,10.0,0.72629,0,0
1630.0,113.0,1602.0,9.0,0.74833,0,0
1745.0,60.0,1632.0,10.0,0.82916,0,0
1765.0,0.0,1820.0,11.0,0.9,0,0
1787.0,37.0,1813.0,11.0,0.96307,1,0
1824.0,45.0,1873.0,11.0,1.02347,0,0
1903.0,67.0,1908.0,11.0,1.15758,0,0
1921.0,51.0,1940.0,12.0,1.2083,0,0
1963.0,49.0,2024.0,12.0,1.28355,0,0
1963.0,77.0,2010.0,12.0,1.35923,0,0
1996.0,87.0,1975.0,12.0,1.47902,0,0
2026.0,47.0,2062.0,13.0,1.5,0,0
2078.0,59.0,2080.0,13.0,1.56844,1,0
2167.0,49.0,2210.0,14.0,1.57797,1,0
2168.0,65.0,2293.0,14.0,1.62096,0,0
2210.0,133.0,2260.0,14.0,1.62481,0,0
2290.0,130.0,2282.0,14.0,1.53623,0,0
2276.0,86.0,2237.0,13.0,1.54919,0,0
2382.0,33.0,2346.0,14.0,1.70587,1,0
2390.0,0.0,2603.0,16.0,1.71683,0,0
2456.0,148.0,2581.0,15.0,1.53623,0,0
2529.0,192.0,2418.0,14.0,1.41421,0,0
2608.0,67.0,2532.0,14.0,1.47902,0,0
2616.0,4.0,2776.0,16.0,1.43091,0,0
2655.0,115.0,2728.0,15.0,1.35185,0,0
2747.0,132.0,2637.0,15.0,1.3,1,0
2788.0,29.0,2850.0,16.0,1.38834,0,0
2838.0,70.0,2970.0,17.0,1.42829,1,0
2877.0,140.0,2938.0,17.0,1.35647,0,0
2933.0,141.0,2817.0,16.0,1.31434,0,0
3059.0,29.0,3058.0,17.0,1.41067,0,0
3091.0,20.0,3145.0,18.0,1.56205,1,0
3137.0,52.0,3240.0,19.0,1.71099,1,0
